ID,Type,Sentence,Pos,Distractor,Group,Length2,Cond,Verb,Obj1,Obj2,Obj3,Pos.Obj2,Wpos.Obj2
17,Ex1,The detective hoped that the lieutenant knew which accomplice the shrewd witness would recognize in the lineup.,pre_0 pre_1 pre2 pre3 pre4 pre5 pre6 pron noun1 det2 adj2 noun2 mod verb1 pos1 pos2 pos3,x-x-x achieving amber page ago consisting holy touch congresses cent argent roughly weird classroom ha mom ashore.,A,17,wh-short,,lieutenant,witness,accomplice,3,12
18,Ex1,The detective hoped that the lieutenant knew that the shrewd witness would recognize the accomplice in the lineup.,pre_0 pre_1 pre2 pre3 pre4 pre5 pre6 pron det2 adj2 noun2 mod verb det noun1 pos1 pos2 pos3,x-x-x achieving amber page ago consisting holy touch cent argent roughly weird solutions jack congresses ha mom ashore.,B,18,control-short,,lieutenant,witness,accomplice,2,11
19,Ex2,The lieutenant knew which accomplice the detective hoped that the shrewd witness would recognize in the lineup.,pre_0 pre_1 pre2 pre3 pre4 pre5 pre6 pron noun1 det2 adj2 noun2 mod verb1 pos1 pos2 pos3,x-x-x accomplish glad click canning relax playoffs lake jogging eat franca knocked weird amendment pre cent cooled.,B,17,wh-long,,detective,witness,accomplice,3,
20,Ex2,The lieutenant knew that the detective hoped that the shrewd witness would recognize the accomplice in the lineup.,pre_0 pre_1 pre2 pre3 pre4 pre5 pre6 pron det2 adj2 noun2 mod verb det noun1 pos1 pos2 pos3,x-x-x accomplish glad click canning relax playoffs lake eat franca knocked weird languages jack jogging pre cent cooled.,A,18,control-long,,detective,witness,accomplice,2,
